Bank/FI,Name,Minimum Balance,Tenure (Months),Interest Rate (%),YoY Interest Rate Change (%),3-Year MA Interest Rate
Corporate Dev,General Fixed Deposit,0.0,3.0,6.25,-1.5748031496062964,6.316666666666666
SCB,Fixed Deposit-5Y,0.0,60.0,6.25,0.0,6.283333333333334
Best Finance,Fixed Deposit->1Yto2Y,0.0,12.96,6.25,0.0,6.25
Guheshwori,Fixed Deposit-2Yto<3Y,0.0,24.0,6.25,0.0,6.25
Shine Resunga,Fixed Deposit-4Yto<5Y,0.0,48.0,6.25,0.0,6.25
Himalayan,Fixed Deposit->5Yto10Y,0.0,60.96,6.25,0.0,6.25
Multipurpose,Fixed Deposit-9M,0.0,9.0,6.25,0.0,6.25
Nepal Finance,Fixed Deposit-3M,0.0,3.0,6.25,0.0,6.25
Manjushree,Fixed Deposit-2Yto<3Y,0.0,24.0,6.25,0.0,6.25
Prime Bank,Fixed Deposit-Above1Y,0.0,12.96,6.25,0.0,6.25
Sindhu Bikas,Fixed Deposit-6Mto<1Y,0.0,6.0,6.21,-0.6399999999999961,6.236666666666667
Gurkhas Finan,Fixed Deposit-6M,0.0,6.0,6.2,-0.16103059581320522,6.22
Janaki Finan.,Fixed Deposit-6m,0.0,6.0,6.2,0.0,6.203333333333333
Prabhu Bank,Fixed Deposit-Above5Y,0.0,60.96,6.1,-1.6129032258064613,6.166666666666667
Green Develop.,Fixed Deposit-6M,0.0,6.0,6.05,-0.8196721311475419,6.116666666666667
Sanima Bank,Fixed Deposit-Above3Y,0.0,36.96,6.05,0.0,6.066666666666666
Miteri Bikas,Fixed Deposit-1Yto2Y,0.0,12.0,6.0,-0.8264462809917328,6.033333333333334
Gurkhas Finan,Fixed Deposit 3M,0.0,3.0,6.0,0.0,6.016666666666666
Goodwill Finan.,Fixed Deposit-1Y,0.0,12.0,6.0,0.0,6.0
RBB,Fixed Deposit-2Y&above,0.0,24.0,6.0,0.0,6.0
NIMB,Fixed Deposit->1Yto2Y,0.0,12.96,6.0,0.0,6.0
