,Bank/FI,Name,Interest Rate,Minimum Balance,Tenure
114,Nepal Finance,Fixd Desposit-6M,0.065,0.0,6 months
115,Nepal Finance Co.,,,,
116,Excel Bikas,Fixed Deposit-3Yto5Y,0.065,0.0,3 years
117,Excel Bikas Bank,,,,
118,Muktinath,Fixed Deposit->2Yto10Y,0.065,0.0,2.08 years
119,Muktinath Bikas Bank,,,,
120,NIMB,Fixed Deposit-Above2Y,0.065,0.0,2.08 years
121,Nepal Investment Mega Bank,,,,
122,Kamana Sewa,Fixed Deposit-2Y&above,0.065,0.0,2 years
123,Kamana Sewa B.Bank,,,,
124,Jyoti Bikas,Fixed Deposit-3Y&above,0.065,0.0,3.08 years
125,Jyoti Bikas Bank,,,,
126,Shine Resunga,Fixed Deposit-5Y&above,0.065,0.0,5 years
127,Shine Resunga BB,,,,
128,Janaki Finan.,Fixed Deposit- 9 Month,0.0645,0.0,9 months
129,Janaki Finance Co.,,,,
130,Best Finance,Fixed Deposit->2Yto3Y,0.064,0.0,2.08 years
131,Best Finance Co.,,,,
132,Gurkhas Finan,Fixed Deposit- 9M,0.0635,0.0,9 months
133,Gurkhas Finance Ltd,,,,
134,Progressive,Fixed Deposit-1Yto<2Y,0.0635,0.0,1 year
135,Progressive Fin. Co.,,,,
136,Corporate Dev,General Fixed Deposit,0.0625,0.0,3 months
137,Corporate Bikas Bank,,,,
138,SCB,Fixed Deposit-5Y,0.0625,0.0,5 years
139,Standard Chartered Bank,,,,
140,Best Finance,Fixed Deposit->1Yto2Y,0.0625,0.0,1.08 years
141,Best Finance Co.,,,,
142,Guheshwori,Fixed Deposit-2Yto<3Y,0.0625,0.0,2 years
143,Guheshwori Finance,,,,
144,Shine Resunga,Fixed Deposit-4Yto<5Y,0.0625,0.0,4 years
145,Shine Resunga BB,,,,
146,Himalayan,Fixed Deposit->5Yto10Y,0.0625,0.0,5.08 years
147,Himalayan Bank,,,,
148,Multipurpose,Fixed Deposit-9M,0.0625,0.0,9 months
149,Multipurpose Finance,,,,
150,Nepal Finance,Fixed Deposit-3M,0.0625,0.0,3 months
151,Nepal Finance Co.,,,,
152,Manjushree,Fixed Deposit-2Yto<3Y,0.0625,0.0,2 years
153,Manjushree Finance,,,,
154,Prime Bank,Fixed Deposit-Above1Y,0.0625,0.0,1.08 years
155,Prime Commercial Bank,,,,
156,Sindhu Bikas,Fixed Deposit-6Mto<1Y,0.0621,0.0,6 months
157,Sindhu Bikas Bank,,,,
158,Gurkhas Finan,Fixed Deposit-6M,0.062,0.0,6 months
159,Gurkhas Finance Ltd,,,,
160,Janaki Finan.,Fixed Deposit-6m,0.062,0.0,6 months
161,Janaki Finance Co.,,,,
162,Prabhu Bank,Fixed Deposit-Above5Y,0.061,0.0,5.08 years
163,Prabhu Bank,,,,
164,Green Develop.,Fixed Deposit-6M,0.0605,0.0,6 months
165,Green Dev. Bank,,,,
166,Sanima Bank,Fixed Deposit-Above3Y,0.0605,0.0,3.08 years
167,Sanima Bank,,,,
168,Miteri Bikas,Fixed Deposit-1Yto2Y,0.06,0.0,1 year
169,Miteri Bikas Bank,,,,
170,Gurkhas Finan,Fixed Deposit 3M,0.06,0.0,3 months
171,Gurkhas Finance Ltd,,,,
172,Goodwill Finan.,Fixed Deposit-1Y,0.06,0.0,1 year
173,Goodwill Finance Co.,,,,
174,RBB,Fixed Deposit-2Y&above,0.06,0.0,2 years
175,Rastriya Banijya Bank,,,,
176,NIMB,Fixed Deposit->1Yto2Y,0.06,0.0,1.08 years
177,Nepal Investment Mega Bank,,,,
178,Everest Bank,Fixed Deposit-Above5Y,0.06,0.0,5.08 years
179,Everest Bank,,,,
180,NMB Bank,Fixed Deposit->3Yto5Y,0.06,0.0,3.08 years
181,NMB Bank,,,,
182,Progressive,Fixed Deposit-9M,0.06,0.0,9 months
183,Progressive Fin. Co.,,,,
184,Pokhara Finan.,Fixed Deposit-90Days,0.06,0.0,3 months
185,Pokhara Finance,,,,
186,Samriddhi Fin,Fixed Deposit-9 month,0.06,0.0,9 months
187,Samriddhi Finance Co.,,,,
188,Guheshwori,Fixed Deposit-1Yto<2Y,0.06,0.0,1 year
189,Guheshwori Finance,,,,
190,ICFC Finance,Fixed Deposit-1Yto<2Y,0.06,0.0,1 year
191,ICFC Finance Ltd,,,,
192,Reliance Fin.,Fixed Deposit-9M,0.06,0.0,9 months
193,Reliance Finance Ltd.,,,,
194,Prime Bank,Fixed Deposit-1Y,0.06,0.0,1 year
195,Prime Commercial Bank,,,,
196,Shine Resunga,Fixed Deposit-3Yto<4Y,0.06,0.0,3 years
197,Shine Resunga BB,,,,
198,Central Fin,Fixed Deposit-9 Month,0.06,0.0,9 months
199,Central Finance Ltd,,,,
200,Shangrila Dev.,Fixed Deposit-1Y,0.06,0.0,1 year
201,Shangrila Bikas Bank,,,,
202,Manjushree,Fixed Deposit-1Yto<3Y,0.06,0.0,1 year
203,Manjushree Finance,,,,
204,Excel Bikas,Fixed Deposit-1Yto<3Y,0.06,0.0,1 year
205,Excel Bikas Bank,,,,
206,Multipurpose,Fixed Deposit-6M,0.06,0.0,6 months
207,Multipurpose Finance,,,,
208,Shree Invest,Fixed Deposit-1Yto2Y,0.06,0.0,1 year
209,Shree Invest &Finance,,,,
210,Siddhartha,Fixed Deposit->2Y,0.06,0.0,2.08 years
211,Siddhartha Bank,,,,
212,Machhapuchhre,Fixed Deposit-3Y&above,0.06,0.0,3 years
213,Machhapuchhre Bank,,,,
214,Global IME,Fixed Deposit-3Y&above,0.06,0.0,3 years
215,Global IME Bank,,,,
216,Sanima Bank,Fixed Deposit->2Yto3Y,0.0585,0.0,2.08 years
217,Sanima Bank,,,,
218,Kumari Bank,Fixed Deposit-2Y&above,0.0581,0.0,2 years
219,Kumari Bank,,,,
220,Multipurpose,Fixed Deposit-3M,0.058,0.0,3 months
221,Multipurpose Finance,,,,
222,Muktinath,Fixed Deposit-1Yto2Y,0.058,0.0,1 year
223,Muktinath Bikas Bank,,,,
224,Green Develop.,Fixed Deposit-3M,0.0575,0.0,3 months
225,Green Dev. Bank,,,,
226,Shine Resunga,Fixed Deposit-2Yto<3Y,0.0575,0.0,2 years
227,Shine Resunga BB,,,,
228,Prime Bank,Fixed Deposit-6Mto<1Y,0.0575,0.0,6 months
229,Prime Commercial Bank,,,,
230,Progressive,Fixed Deposit- 6M,0.0575,0.0,6 months
231,Progressive Fin. Co.,,,,
232,Samriddhi Fin,Fixed Deposit-6 month,0.0575,0.0,6 months
233,Samriddhi Finance Co.,,,,
234,Guheshwori,Fixed Deposit-6Mto9M,0.0575,0.0,6 months
235,Guheshwori Finance,,,,
236,Reliance Fin.,Fixed Deposit- 6M,0.0575,0.0,6 months
237,Reliance Finance Ltd.,,,,
238,Central Fin,Fixed Deposit-6 month,0.0575,0.0,6 months
239,Central Finance Ltd,,,,
240,Global IME,Fixed Deposit-2Yto<3Y,0.0575,0.0,2 years
241,Global IME Bank,,,,
242,Nabil Bank,Fixed Deposit-Above5Y,0.0575,0.0,5.08 years
243,Nabil Bank,,,,
244,Sanima Bank,Fixed Deposit->1Yto2Y,0.0575,0.0,1.08 years
245,Sanima Bank,,,,
246,Laxmi Sunrise,Fixed Deposit-5Y&above,0.0575,0.0,5 years
247,Laxmi Sunrise,,,,
248,Citizens Bank,Fixed Deposit-2Y&above,0.0565,0.0,2 years
249,Citizens Bank Int'l,,,,
250,Prabhu Bank,Fixed Deposit->1Yto5Y,0.056,0.0,1 year
251,Prabhu Bank,,,,
252,Janaki Finan.,Fixed Deposit-3 Month,0.056,0.0,3 months
253,Janaki Finance Co.,,,,
254,Goodwill Finan.,Fixed Deposit-9M,0.056,0.0,9 months
255,Goodwill Finance Co.,,,,
256,Krishi Bikas,Fixed Deposit-3Y&above,0.0551,0.0,3 years
257,Agricultural Dev. Bank,,,,
258,Nepal Bank,Fixed Deposit->5Y,0.055,0.0,5.08 years
259,Nepal Bank Ltd.,,,,
260,Shine Resunga,Fixed Deposit-1Yto<2Y,0.055,0.0,1 year
261,Shine Resunga BB,,,,
262,Goodwill Finan.,Fixed Deposit-6M,0.055,0.0,6 months
263,Goodwill Finance Co.,,,,
264,Shree Invest,Fixed Deposit-6M,0.055,0.0,6 months
265,Shree Invest &Finance,,,,
266,Himalayan,Fixed Deposit->2Yto5Y,0.055,0.0,2.08 years
267,Himalayan Bank,,,,
268,Nepal SBI,Fixed Deposit-3Y&above,0.055,0.0,3 years
269,Nepal SBI Bank,,,,
270,Laxmi Sunrise,Fixed Deposit-2Yto<5Y,0.055,0.0,2 years
271,Laxmi Sunrise,,,,
272,Siddhartha,Fixed Deposit-1Yto2Y,0.055,0.0,1 year
273,Siddhartha Bank,,,,
274,Prime Bank,Fixed Deposit-3Mto<6M,0.055,0.0,3 months
275,Prime Commercial Bank,,,,
276,Progressive,Fixed Deposit-3M,0.055,0.0,3 months
277,Progressive Fin. Co.,,,,
278,Samriddhi Fin,Fixed Deposit-3M,0.055,0.0,3 months
279,Samriddhi Finance Co.,,,,
280,Manjushree,Fixed Deposit-6Mto<1Y,0.055,0.0,6 months
281,Manjushree Finance,,,,
282,Central Fin,Fixed Deposit-3M,0.055,0.0,3 months
283,Central Finance Ltd,,,,
284,NIC Asia,Fixed Deposit-1Yto<5Y,0.055,0.0,1 year
285,NIC ASIA Bank,,,,
286,Nabil Bank,FD->2Yto5Y,0.055,0.0,2.08 years
287,Nabil Bank,,,,
288,NMB Bank,Fixed Deposit->2Yto3Y,0.055,0.0,2.08 years
289,NMB Bank,,,,
